Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2021,Net change,Places,8.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2020,Entries,Children's homes,1.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2021,Entries,Places,8.0
Third Sector,BOURNEMOUTH CHRISTCHURCH AND POOLE,2019,Exits,Places,16.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Net change,Children's homes,0.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2021,Entries,Children's homes,4.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Entries,Places,4.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2020,Net change,Children's homes,1.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Net change,Places,0.0
Third Sector,BOURNEMOUTH CHRISTCHURCH AND POOLE,2019,Exits,Children's homes,1.0
For-profit,BRACKNELL FOREST,2023,Exits,Children's homes,2.0
For-profit,BRACKNELL FOREST,2023,Exits,Places,4.0
For-profit,BRACKNELL FOREST,2023,Net change,Children's homes,-2.0
For-profit,BRACKNELL FOREST,2023,Net change,Places,-4.0
Local Authority,BRADFORD,2023,Net change,Places,-14.0
For-profit,BRADFORD,2022,Exits,Places,14.0
For-profit,BRADFORD,2022,Exits,Children's homes,2.0
For-profit,BRADFORD,2022,Entries,Places,14.0
Local Authority,BRADFORD,2018,Entries,Children's homes,1.0
For-profit,BRADFORD,2020,Entries,Children's homes,2.0
For-profit,BRADFORD,2017,Net change,Children's homes,3.0
Local Authority,BRADFORD,2018,Entries,Places,4.0
For-profit,BRADFORD,2022,Net change,Places,0.0
Local Authority,BRADFORD,2014,Exits,Children's homes,1.0
For-profit,BRADFORD,2014,Exits,Children's homes,1.0
For-profit,BRADFORD,2014,Exits,Places,0.0
Local Authority,BRADFORD,2018,Net change,Places,4.0
For-profit,BRADFORD,2022,Entries,Children's homes,6.0
For-profit,BRADFORD,2017,Entries,Places,15.0
Local Authority,BRADFORD,2015,Exits,Children's homes,2.0
For-profit,BRADFORD,2022,Net change,Children's homes,4.0
For-profit,BRADFORD,2020,Net change,Children's homes,2.0
Third Sector,BRADFORD,2017,Exits,Children's homes,1.0
For-profit,BRADFORD,2021,Entries,Places,3.0
Local Authority,BRADFORD,2015,Exits,Places,0.0
Local Authority,BRADFORD,2018,Net change,Children's homes,1.0
For-profit,BRADFORD,2016,Entries,Places,7.0
Third Sector,BRADFORD,2017,Net change,Children's homes,-1.0
For-profit,BRADFORD,2020,Net change,Places,6.0
Local Authority,BRADFORD,2014,Exits,Places,0.0
Local Authority,BRADFORD,2023,Exits,Children's homes,3.0
Local Authority,BRADFORD,2017,Exits,Places,14.0
Local Authority,BRADFORD,2023,Exits,Places,14.0
For-profit,BRADFORD,2017,Entries,Children's homes,3.0
For-profit,BRADFORD,2021,Entries,Children's homes,3.0
Local Authority,BRADFORD,2017,Net change,Children's homes,-3.0
For-profit,BRADFORD,2016,Entries,Children's homes,1.0
Local Authority,BRADFORD,2023,Net change,Children's homes,-3.0
For-profit,BRADFORD,2021,Net change,Children's homes,3.0
For-profit,BRADFORD,2021,Net change,Places,3.0
Third Sector,BRADFORD,2017,Net change,Places,-6.0
Local Authority,BRADFORD,2017,Exits,Children's homes,3.0
For-profit,BRADFORD,2017,Net change,Places,15.0
Third Sector,BRADFORD,2017,Exits,Places,6.0
For-profit,BRADFORD,2020,Entries,Places,6.0
Local Authority,BRADFORD,2017,Net change,Places,-14.0
For-profit,BRENT,2023,Net change,Places,4.0
For-profit,BRENT,2018,Entries,Children's homes,1.0
For-profit,BRENT,2020,Entries,Children's homes,3.0
For-profit,BRENT,2020,Net change,Places,12.0
Third Sector,BRENT,2019,Net change,Children's homes,-2.0
Third Sector,BRENT,2019,Net change,Places,-5.0
For-profit,BRENT,2018,Net change,Children's homes,-2.0
For-profit,BRENT,2017,Exits,Places,4.0
For-profit,BRENT,2020,Entries,Places,12.0
For-profit,BRENT,2018,Exits,Places,9.0
For-profit,BRENT,2017,Net change,Places,0.0
For-profit,BRENT,2018,Exits,Children's homes,3.0
For-profit,BRENT,2017,Exits,Children's homes,2.0
For-profit,BRENT,2023,Entries,Places,4.0
For-profit,BRENT,2017,Entries,Children's homes,1.0
For-profit,BRENT,2017,Net change,Children's homes,-1.0
For-profit,BRENT,2022,Net change,Places,4.0
For-profit,BRENT,2018,Net change,Places,-4.0
For-profit,BRENT,2022,Net change,Children's homes,1.0
For-profit,BRENT,2020,Net change,Children's homes,3.0
For-profit,BRENT,2018,Entries,Places,5.0
For-profit,BRENT,2023,Net change,Children's homes,1.0
Third Sector,BRENT,2019,Exits,Places,5.0
For-profit,BRENT,2017,Entries,Places,4.0
Third Sector,BRENT,2019,Exits,Children's homes,2.0
For-profit,BRENT,2022,Entries,Children's homes,1.0
For-profit,BRENT,2022,Entries,Places,4.0
Third Sector,BRENT,2015,Exits,Children's homes,1.0
For-profit,BRENT,2023,Entries,Children's homes,1.0
Third Sector,BRENT,2015,Exits,Places,0.0
For-profit,BRIGHTON AND HOVE,2022,Entries,Children's homes,1.0
For-profit,BRIGHTON AND HOVE,2022,Entries,Places,4.0
For-profit,BRIGHTON AND HOVE,2018,Exits,Children's homes,4.0
For-profit,BRIGHTON AND HOVE,2017,Exits,Places,7.0
For-profit,BRIGHTON AND HOVE,2018,Entries,Places,6.0
For-profit,BRIGHTON AND HOVE,2022,Net change,Children's homes,1.0
For-profit,BRIGHTON AND HOVE,2018,Net change,Places,-1.0
Third Sector,BRIGHTON AND HOVE,2014,Exits,Children's homes,1.0
For-profit,BRIGHTON AND HOVE,2017,Net change,Children's homes,-2.0
For-profit,BRIGHTON AND HOVE,2018,Exits,Places,7.0
Third Sector,BRIGHTON AND HOVE,2014,Exits,Places,0.0
For-profit,BRIGHTON AND HOVE,2017,Net change,Places,-7.0
For-profit,BRIGHTON AND HOVE,2018,Net change,Children's homes,-3.0
For-profit,BRIGHTON AND HOVE,2018,Entries,Children's homes,1.0
For-profit,BRIGHTON AND HOVE,2017,Exits,Children's homes,2.0
For-profit,BRIGHTON AND HOVE,2022,Net change,Places,4.0
For-profit,BRISTOL,2016,Entries,Children's homes,1.0
Local Authority,BRISTOL,2020,Entries,Children's homes,2.0
Local Authority,BRISTOL,2021,Exits,Children's homes,2.0
Local Authority,BRISTOL,2021,Entries,Places,3.0
For-profit,BRISTOL,2018,Exits,Children's homes,4.0
For-profit,BRISTOL,2016,Entries,Places,48.0
For-profit,BRISTOL,2015,Exits,Children's homes,2.0
Local Authority,BRISTOL,2022,Net change,Places,-9.0
Local Authority,BRISTOL,2022,Net change,Children's homes,-3.0
Local Authority,BRISTOL,2021,Exits,Places,5.0
Local Authority,BRISTOL,2020,Net change,Places,4.0
Local Authority,BRISTOL,2020,Net change,Children's homes,2.0
Local Authority,BRISTOL,2018,Exits,Places,5.0
For-profit,BRISTOL,2019,Net change,Places,-48.0
Local Authority,BRISTOL,2020,Entries,Places,4.0
Local Authority,BRISTOL,2022,Exits,Children's homes,3.0
For-profit,BRISTOL,2018,Exits,Places,8.0
For-profit,BRISTOL,2015,Exits,Places,0.0
For-profit,BRISTOL,2019,Exits,Children's homes,1.0
Local Authority,BRISTOL,2021,Entries,Children's homes,1.0
Local Authority,BRISTOL,2022,Exits,Places,9.0
Local Authority,BRISTOL,2021,Net change,Children's homes,-1.0
Local Authority,BRISTOL,2021,Net change,Places,-2.0
For-profit,BRISTOL,2019,Exits,Places,48.0
Local Authority,BRISTOL,2018,Net change,Places,-5.0
For-profit,BRISTOL,2018,Net change,Places,-8.0
Local Authority,BRISTOL,2018,Net change,Children's homes,-2.0
Third Sector,BRISTOL,2016,Exits,Children's homes,2.0
For-profit,BRISTOL,2019,Net change,Children's homes,-1.0
For-profit,BRISTOL,2018,Net change,Children's homes,-4.0
Third Sector,BRISTOL,2016,Exits,Places,48.0
Local Authority,BRISTOL,2018,Exits,Children's homes,2.0
For-profit,BROMLEY,2023,Exits,Children's homes,1.0
For-profit,BROMLEY,2023,Exits,Places,6.0
For-profit,BROMLEY,2023,Net change,Children's homes,-1.0
For-profit,BROMLEY,2023,Net change,Places,-6.0
For-profit,BUCKINGHAMSHIRE,2021,Net change,Places,-8.0
Third Sector,BUCKINGHAMSHIRE,2018,Entries,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2020,Net change,Places,7.0
For-profit,BUCKINGHAMSHIRE,2020,Entries,Children's homes,2.0
For-profit,BUCKINGHAMSHIRE,2021,Net change,Children's homes,-1.0
For-profit,BUCKINGHAMSHIRE,2020,Net change,Children's homes,2.0
Local Authority,BUCKINGHAMSHIRE,2021,Net change,Places,5.0
For-profit,BUCKINGHAMSHIRE,2021,Exits,Places,8.0
For-profit,BUCKINGHAMSHIRE,2019,Entries,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2021,Net change,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2022,Net change,Children's homes,-2.0
Local Authority,BUCKINGHAMSHIRE,2022,Net change,Places,-6.0
Local Authority,BUCKINGHAMSHIRE,2018,Entries,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2015,Exits,Children's homes,2.0
Local Authority,BUCKINGHAMSHIRE,2021,Entries,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2019,Entries,Places,4.0
For-profit,BUCKINGHAMSHIRE,2015,Exits,Places,4.0
Local Authority,BUCKINGHAMSHIRE,2022,Exits,Children's homes,2.0
Local Authority,BUCKINGHAMSHIRE,2018,Entries,Places,5.0
For-profit,BUCKINGHAMSHIRE,2021,Exits,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2021,Entries,Places,5.0
For-profit,BUCKINGHAMSHIRE,2018,Net change,Places,8.0
Local Authority,BUCKINGHAMSHIRE,2018,Net change,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2020,Entries,Places,7.0
Local Authority,BUCKINGHAMSHIRE,2019,Net change,Places,5.0
Third Sector,BUCKINGHAMSHIRE,2018,Net change,Children's homes,1.0
Third Sector,BUCKINGHAMSHIRE,2018,Entries,Places,6.0
For-profit,BUCKINGHAMSHIRE,2018,Entries,Places,8.0
For-profit,BUCKINGHAMSHIRE,2019,Net change,Places,4.0
Local Authority,BUCKINGHAMSHIRE,2019,Net change,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2018,Entries,Children's homes,1.0
For-profit,BUCKINGHAMSHIRE,2016,Exits,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2018,Net change,Places,5.0
Local Authority,BUCKINGHAMSHIRE,2019,Entries,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2022,Exits,Places,6.0
For-profit,BUCKINGHAMSHIRE,2019,Net change,Children's homes,1.0
Local Authority,BUCKINGHAMSHIRE,2019,Entries,Places,5.0
Third Sector,BUCKINGHAMSHIRE,2018,Net change,Places,6.0
For-profit,BUCKINGHAMSHIRE,2016,Exits,Places,5.0
For-profit,BUCKINGHAMSHIRE,2018,Net change,Children's homes,1.0
For-profit,BURY,2018,Entries,Children's homes,1.0
For-profit,BURY,2019,Net change,Children's homes,1.0
For-profit,BURY,2023,Net change,Places,-3.0
For-profit,BURY,2023,Net change,Children's homes,-1.0
For-profit,BURY,2019,Entries,Children's homes,1.0
For-profit,BURY,2020,Entries,Places,14.0
For-profit,BURY,2022,Exits,Children's homes,2.0
For-profit,BURY,2016,Exits,Places,7.0
For-profit,BURY,2022,Entries,Places,14.0
For-profit,BURY,2018,Net change,Children's homes,0.0
For-profit,BURY,2016,Entries,Places,3.0
For-profit,BURY,2022,Net change,Children's homes,3.0
For-profit,BURY,2020,Exits,Children's homes,4.0
For-profit,BURY,2015,Exits,Children's homes,1.0
For-profit,BURY,2022,Net change,Places,9.0
For-profit,BURY,2015,Exits,Places,0.0
For-profit,BURY,2018,Exits,Children's homes,1.0
For-profit,BURY,2018,Net change,Places,0.0
For-profit,BURY,2018,Entries,Places,3.0
For-profit,BURY,2018,Exits,Places,3.0
For-profit,BURY,2016,Entries,Children's homes,1.0
For-profit,BURY,2019,Entries,Places,4.0
For-profit,BURY,2020,Exits,Places,6.0
For-profit,BURY,2022,Exits,Places,5.0
For-profit,BURY,2023,Exits,Children's homes,1.0
For-profit,BURY,2017,Net change,Places,4.0
For-profit,BURY,2020,Entries,Children's homes,5.0
For-profit,BURY,2017,Net change,Children's homes,0.0
For-profit,BURY,2020,Net change,Children's homes,1.0
For-profit,BURY,2020,Net change,Places,8.0
For-profit,BURY,2022,Entries,Children's homes,5.0
For-profit,BURY,2017,Exits,Children's homes,2.0
For-profit,BURY,2016,Exits,Children's homes,3.0
For-profit,BURY,2023,Exits,Places,3.0
For-profit,BURY,2017,Entries,Children's homes,2.0
For-profit,BURY,2017,Exits,Places,4.0
For-profit,BURY,2017,Entries,Places,8.0
For-profit,BURY,2019,Net change,Places,4.0
For-profit,CALDERDALE,2016,Exits,Children's homes,1.0
Local Authority,CALDERDALE,2023,Net change,Places,3.0
Local Authority,CALDERDALE,2023,Net change,Children's homes,1.0
For-profit,CALDERDALE,2019,Entries,Places,9.0
For-profit,CALDERDALE,2022,Net change,Places,9.0
For-profit,CALDERDALE,2020,Entries,Places,14.0
Local Authority,CALDERDALE,2016,Entries,Places,3.0
For-profit,CALDERDALE,2020,Entries,Children's homes,8.0
For-profit,CALDERDALE,2018,Entries,Places,4.0
For-profit,CALDERDALE,2017,Exits,Places,1.0
For-profit,CALDERDALE,2017,Entries,Children's homes,3.0
For-profit,CALDERDALE,2022,Net change,Children's homes,2.0
For-profit,CALDERDALE,2017,Entries,Places,9.0
For-profit,CALDERDALE,2017,Exits,Children's homes,1.0
For-profit,CALDERDALE,2019,Net change,Children's homes,4.0
For-profit,CALDERDALE,2016,Entries,Children's homes,1.0
For-profit,CALDERDALE,2016,Exits,Places,4.0
For-profit,CALDERDALE,2017,Net change,Places,8.0
For-profit,CALDERDALE,2017,Net change,Children's homes,2.0
For-profit,CALDERDALE,2021,Entries,Children's homes,2.0
Local Authority,CALDERDALE,2016,Entries,Children's homes,1.0
For-profit,CALDERDALE,2019,Net change,Places,9.0
For-profit,CALDERDALE,2020,Net change,Children's homes,8.0
For-profit,CALDERDALE,2020,Net change,Places,14.0
Local Authority,CALDERDALE,2023,Entries,Children's homes,1.0
For-profit,CALDERDALE,2021,Net change,Children's homes,2.0
For-profit,CALDERDALE,2018,Net change,Places,4.0
For-profit,CALDERDALE,2021,Net change,Places,3.0
For-profit,CALDERDALE,2019,Entries,Children's homes,4.0
For-profit,CALDERDALE,2021,Entries,Places,3.0
For-profit,CALDERDALE,2014,Exits,Children's homes,2.0
For-profit,CALDERDALE,2016,Entries,Places,6.0
For-profit,CALDERDALE,2018,Net change,Children's homes,2.0
For-profit,CALDERDALE,2022,Entries,Places,9.0
For-profit,CALDERDALE,2018,Entries,Children's homes,2.0
For-profit,CALDERDALE,2022,Entries,Children's homes,2.0
Local Authority,CALDERDALE,2023,Entries,Places,3.0
For-profit,CALDERDALE,2014,Exits,Places,0.0
For-profit,CAMBRIDGESHIRE,2021,Net change,Children's homes,3.0
For-profit,CAMBRIDGESHIRE,2021,Net change,Places,13.0
For-profit,CAMBRIDGESHIRE,2019,Entries,Children's homes,2.0
For-profit,CAMBRIDGESHIRE,2014,Exits,Places,0.0
Third Sector,CAMBRIDGESHIRE,2021,Net change,Places,-7.0
For-profit,CAMBRIDGESHIRE,2017,Exits,Children's homes,1.0
For-profit,CAMBRIDGESHIRE,2017,Exits,Places,16.0
For-profit,CAMBRIDGESHIRE,2018,Entries,Places,6.0
For-profit,CAMBRIDGESHIRE,2014,Exits,Children's homes,1.0
Local Authority,CAMBRIDGESHIRE,2016,Exits,Children's homes,4.0
For-profit,CAMBRIDGESHIRE,2020,Entries,Children's homes,3.0
Third Sector,CAMBRIDGESHIRE,2016,Exits,Children's homes,2.0
Third Sector,CAMBRIDGESHIRE,2017,Entries,Children's homes,1.0
Third Sector,CAMBRIDGESHIRE,2021,Net change,Children's homes,-2.0
Third Sector,CAMBRIDGESHIRE,2016,Exits,Places,33.0
Third Sector,CAMBRIDGESHIRE,2017,Net change,Places,2.0
Local Authority,CAMBRIDGESHIRE,2018,Exits,Places,6.0
For-profit,CAMBRIDGESHIRE,2016,Entries,Children's homes,1.0
For-profit,CAMBRIDGESHIRE,2019,Net change,Children's homes,2.0
Local Authority,CAMBRIDGESHIRE,2016,Exits,Places,11.0
For-profit,CAMBRIDGESHIRE,2016,Entries,Places,23.0
Local Authority,CAMBRIDGESHIRE,2018,Net change,Children's homes,-2.0
Local Authority,CAMBRIDGESHIRE,2020,Entries,Places,17.0
For-profit,CAMBRIDGESHIRE,2019,Entries,Places,9.0
For-profit,CAMBRIDGESHIRE,2018,Entries,Children's homes,1.0
Local Authority,CAMBRIDGESHIRE,2018,Net change,Places,-6.0
For-profit,CAMBRIDGESHIRE,2020,Net change,Children's homes,3.0
For-profit,CAMBRIDGESHIRE,2019,Net change,Places,9.0
Third Sector,CAMBRIDGESHIRE,2020,Net change,Places,-19.0
Local Authority,CAMBRIDGESHIRE,2020,Net change,Places,17.0
For-profit,CAMBRIDGESHIRE,2020,Net change,Places,11.0
Third Sector,CAMBRIDGESHIRE,2020,Net change,Children's homes,-6.0
Local Authority,CAMBRIDGESHIRE,2020,Net change,Children's homes,3.0
For-profit,CAMBRIDGESHIRE,2018,Net change,Children's homes,1.0
For-profit,CAMBRIDGESHIRE,2018,Net change,Places,6.0
For-profit,CAMBRIDGESHIRE,2015,Exits,Children's homes,1.0
Third Sector,CAMBRIDGESHIRE,2017,Entries,Places,2.0
Local Authority,CAMBRIDGESHIRE,2018,Exits,Children's homes,2.0
For-profit,CAMBRIDGESHIRE,2017,Net change,Places,0.0
For-profit,CAMBRIDGESHIRE,2020,Entries,Places,11.0
Third Sector,CAMBRIDGESHIRE,2021,Exits,Children's homes,2.0
For-profit,CAMBRIDGESHIRE,2017,Entries,Children's homes,1.0
For-profit,CAMBRIDGESHIRE,2021,Entries,Children's homes,3.0
Third Sector,CAMBRIDGESHIRE,2020,Exits,Places,19.0
For-profit,CAMBRIDGESHIRE,2015,Exits,Places,0.0
For-profit,CAMBRIDGESHIRE,2017,Entries,Places,16.0
Third Sector,CAMBRIDGESHIRE,2017,Net change,Children's homes,1.0
Local Authority,CAMBRIDGESHIRE,2020,Entries,Children's homes,3.0
For-profit,CAMBRIDGESHIRE,2017,Net change,Children's homes,0.0
Third Sector,CAMBRIDGESHIRE,2021,Exits,Places,7.0
Third Sector,CAMBRIDGESHIRE,2020,Exits,Children's homes,6.0
For-profit,CAMBRIDGESHIRE,2021,Entries,Places,13.0
For-profit,CAMDEN,2017,Net change,Places,6.0
For-profit,CAMDEN,2017,Net change,Children's homes,1.0
For-profit,CAMDEN,2019,Entries,Places,3.0
For-profit,CAMDEN,2017,Entries,Children's homes,1.0
For-profit,CAMDEN,2019,Net change,Places,3.0
For-profit,CAMDEN,2017,Entries,Places,6.0
For-profit,CAMDEN,2019,Net change,Children's homes,1.0
For-profit,CAMDEN,2019,Entries,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2017,Net change,Children's homes,-2.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Net change,Children's homes,0.0
For-profit,CENTRAL BEDFORDSHIRE,2020,Entries,Children's homes,2.0
Third Sector,CENTRAL BEDFORDSHIRE,2019,Net change,Children's homes,-2.0
Third Sector,CENTRAL BEDFORDSHIRE,2019,Net change,Places,-5.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Net change,Places,5.0
Local Authority,CENTRAL BEDFORDSHIRE,2019,Entries,Places,5.0
For-profit,CENTRAL BEDFORDSHIRE,2017,Exits,Children's homes,2.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Exits,Places,4.0
Local Authority,CENTRAL BEDFORDSHIRE,2019,Net change,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Exits,Children's homes,2.0
For-profit,CENTRAL BEDFORDSHIRE,2017,Net change,Places,-4.0
Local Authority,CENTRAL BEDFORDSHIRE,2019,Net change,Places,5.0
Local Authority,CENTRAL BEDFORDSHIRE,2019,Entries,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2016,Entries,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2016,Entries,Places,4.0
For-profit,CENTRAL BEDFORDSHIRE,2018,Entries,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Exits,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Entries,Places,9.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Net change,Places,-3.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Net change,Children's homes,0.0
For-profit,CENTRAL BEDFORDSHIRE,2020,Entries,Places,7.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Entries,Places,2.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Entries,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2017,Exits,Places,4.0
For-profit,CENTRAL BEDFORDSHIRE,2018,Entries,Places,4.0
For-profit,CENTRAL BEDFORDSHIRE,2018,Net change,Places,4.0
For-profit,CENTRAL BEDFORDSHIRE,2018,Net change,Children's homes,1.0
For-profit,CENTRAL BEDFORDSHIRE,2020,Net change,Children's homes,2.0
For-profit,CENTRAL BEDFORDSHIRE,2020,Net change,Places,7.0
For-profit,CENTRAL BEDFORDSHIRE,2022,Exits,Places,5.0
Third Sector,CENTRAL BEDFORDSHIRE,2019,Exits,Children's homes,2.0
For-profit,CENTRAL BEDFORDSHIRE,2019,Entries,Children's homes,2.0
Third Sector,CENTRAL BEDFORDSHIRE,2019,Exits,Places,5.0
Third Sector,CHESHIRE EAST,2020,Net change,Children's homes,2.0
For-profit,CHESHIRE EAST,2020,Net change,Places,24.0
Third Sector,CHESHIRE EAST,2020,Net change,Places,6.0
For-profit,CHESHIRE EAST,2020,Net change,Children's homes,5.0
For-profit,CHESHIRE EAST,2017,Net change,Children's homes,1.0
For-profit,CHESHIRE EAST,2020,Exits,Places,3.0
Third Sector,CHESHIRE EAST,2020,Entries,Children's homes,2.0
Local Authority,CHESHIRE EAST,2017,Net change,Children's homes,-2.0
For-profit,CHESHIRE EAST,2019,Net change,Places,19.0
Third Sector,CHESHIRE EAST,2017,Net change,Children's homes,-4.0
